date,ticker,open,high,low,adj_close,volume
2021-01-04,AAPL,129.018126,130.189107,128.242449,129.742067,36046371
2021-01-05,AAPL,129.691019,130.971705,127.842152,129.027116,52561146
2021-01-06,AAPL,128.264824,128.850367,123.230124,123.731405,66028169
2021-01-07,AAPL,124.241019,126.676040,124.171443,125.315106,74855333
2021-01-08,AAPL,125.509406,127.758115,124.722187,127.586064,59767498
2021-01-11,AAPL,128.780714,129.820686,125.742875,126.743827,60049990
2021-01-12,AAPL,126.469385,131.524406,126.202465,130.497377,61631608
2021-01-13,AAPL,130.436051,132.782227,129.940666,130.848986,75297187
2021-01-14,AAPL,131.372969,135.064796,131.274713,133.452828,65380747
2021-01-15,AAPL,133.721535,135.053438,132.002004,132.611102,50544092
2021-01-18,AAPL,133.607471,134.440928,128.581751,129.400181,55347653
2021-01-19,AAPL,129.305338,133.157114,128.977963,131.537851,85200166
2021-01-20,AAPL,132.059409,134.544401,131.531323,134.192281,35222994
2021-01-21,AAPL,134.147957,134.198382,133.256324,133.705871,52624441
2021-01-22,AAPL,135.414583,137.822029,134.745768,137.045426,50932984
2021-01-25,AAPL,135.631124,136.634772,133.092987,133.886597,54649845
2021-01-26,AAPL,134.438531,134.517393,131.467781,131.872046,66238910
2021-01-27,AAPL,131.015533,132.758135,130.632221,131.406049,63075804
2021-01-28,AAPL,131.555196,133.137210,130.270404,130.897926,36757387
2021-01-29,AAPL,130.679221,135.166469,129.844180,132.191303,78283020
2021-02-01,AAPL,131.553144,133.511578,128.971074,132.676264,59198887
2021-02-02,AAPL,131.930594,132.936555,130.307137,130.821699,41630404
2021-02-03,AAPL,130.578799,131.260925,128.903244,130.415386,54942798
2021-02-04,AAPL,130.574844,133.832731,129.188555,133.231724,61145834
2021-02-05,AAPL,132.418686,135.639582,132.307551,135.031601,43828616
2021-02-08,AAPL,135.393909,136.853651,130.557881,131.504430,77501566
2021-02-09,AAPL,132.014960,133.353687,130.020957,131.736165,46869973
2021-02-10,AAPL,131.853026,132.471301,130.372904,132.186106,34300267
2021-02-11,AAPL,131.614046,132.316578,129.193506,130.672362,56345103
2021-02-12,AAPL,131.234387,131.748003,129.412971,131.624182,52486212
2021-02-15,AAPL,131.795665,132.590538,130.403707,130.433599,65713698
2021-02-16,AAPL,130.368291,131.054728,130.273258,130.535974,37919196
2021-02-17,AAPL,130.080236,133.146545,129.603984,132.449779,68909293
2021-02-18,AAPL,131.433832,133.403309,128.896664,131.728621,55728779
2021-02-19,AAPL,131.604070,132.322743,128.424920,129.852018,49319258
2021-02-22,AAPL,129.321005,131.563027,128.581539,129.513294,43580872
2021-02-23,AAPL,129.111696,131.807243,126.858970,130.337445,39795911
2021-02-24,AAPL,130.181541,130.260597,128.744882,129.439465,58362828
2021-02-25,AAPL,129.725525,132.104268,128.128348,128.743944,72591062
2021-02-26,AAPL,129.269440,130.523333,126.436627,129.666564,48428686
2021-03-01,AAPL,129.879697,130.689451,127.223616,127.392438,37215725
2021-03-02,AAPL,126.731251,128.528543,121.440039,124.177360,97811637
2021-03-03,AAPL,123.785590,126.633956,120.969510,121.491544,62634754
2021-03-04,AAPL,122.147166,123.681502,121.084584,122.602787,47258815
2021-03-05,AAPL,122.131999,123.432636,120.700040,123.172581,38788717
2021-03-08,AAPL,122.754245,126.517218,122.429798,125.678681,44847602
2021-03-09,AAPL,125.381681,129.135991,123.562349,128.823008,40339564
2021-03-10,AAPL,127.901874,129.419407,126.500613,127.240472,65762781
2021-03-11,AAPL,127.411621,128.378633,123.889226,125.404741,93117357
2021-03-12,AAPL,126.039090,128.046797,121.832858,122.937958,53774001
2021-03-15,AAPL,124.110656,124.609834,121.600465,123.881338,43036535
2021-03-16,AAPL,123.321636,123.431025,120.940859,122.022430,61297831
2021-03-17,AAPL,121.774972,122.319066,118.495341,119.367101,52178823
2021-03-18,AAPL,120.166832,120.519881,118.170699,119.030985,27157180
2021-03-19,AAPL,118.474249,122.165334,117.486615,121.876931,67893310
2021-03-22,AAPL,120.870501,121.162913,120.088410,120.519574,69073497
2021-03-23,AAPL,119.920655,124.048487,119.126268,122.359534,51134042
2021-03-24,AAPL,122.436937,125.984442,120.348118,124.575791,54601605
2021-03-25,AAPL,124.851953,125.805896,123.105235,125.026207,41925378
2021-03-26,AAPL,124.261322,131.124749,123.993398,129.273807,66799373
2021-03-29,AAPL,129.818882,131.630768,128.958160,128.984765,52503938
2021-03-30,AAPL,128.455383,130.054855,124.947110,125.618111,77138861
2021-03-31,AAPL,126.359489,126.573967,123.848000,124.536923,44070174
2021-04-01,AAPL,124.919640,129.317239,122.162043,127.458022,39174164
2021-04-02,AAPL,126.477699,127.505395,125.678716,126.593289,64576813
2021-04-05,AAPL,126.417417,127.206380,124.426625,125.276056,51371913
2021-04-06,AAPL,125.766095,126.574898,125.579292,126.322921,55534667
2021-04-07,AAPL,125.545373,127.280169,124.846022,126.729436,36035076
2021-04-08,AAPL,126.159760,126.355060,125.761818,125.820487,41217730
2021-04-09,AAPL,125.359387,129.397433,122.917709,127.860135,61196751
2021-04-12,AAPL,127.743842,127.801766,124.328087,126.074468,29971443
2021-04-13,AAPL,127.584852,127.625230,125.532129,126.791181,64598151
2021-04-14,AAPL,126.883736,127.770238,125.184967,125.657780,48680992
2021-04-15,AAPL,126.378256,126.723099,122.645984,122.863939,57147959
2021-04-16,AAPL,122.956591,123.762162,120.161493,121.099491,62269868
2021-04-19,AAPL,122.145362,122.233806,115.663848,117.173641,77730823
2021-04-20,AAPL,118.320393,119.359750,114.582091,115.533696,75676425
2021-04-21,AAPL,115.250095,115.965019,112.099449,112.745853,79201764
2021-04-22,AAPL,112.511553,114.022828,112.488033,113.474830,58347311
2021-04-23,AAPL,113.482236,113.623527,109.819156,110.636830,61936834
